epoch,train_acc,test_acc,train_loss,test_loss
1,0.36816000,0.30160000,1.76447540,2.06160106
2,0.49766000,0.45600000,1.38369691,1.51864162
3,0.56582000,0.52190000,1.21555287,1.39256457
4,0.60110000,0.44530000,1.11881677,1.60547918
5,0.62914000,0.56930000,1.05194843,1.25048734
6,0.65004000,0.55620000,0.99113068,1.28399307
7,0.66774000,0.52240000,0.94850287,1.43442346
8,0.68224000,0.55970000,0.90916504,1.34030673
9,0.69590000,0.62010000,0.87899734,1.09669879
10,0.70476000,0.62010000,0.84898098,1.08779980
11,0.71934000,0.57010000,0.81355831,1.32679783
12,0.72810000,0.56270000,0.78941233,1.35306991
13,0.73808000,0.65720000,0.76318087,1.03077915
14,0.74634000,0.57480000,0.74019422,1.40055037
15,0.75402000,0.66900000,0.71806221,0.98362198
16,0.76120000,0.57350000,0.70389129,1.33528309
17,0.76546000,0.63330000,0.68058927,1.11508055
18,0.77504000,0.61540000,0.66360903,1.18890854
19,0.77934000,0.60250000,0.64605924,1.23970121
20,0.78240000,0.69720000,0.63802009,0.92547058
21,0.78924000,0.68790000,0.61940612,0.91460336
22,0.79466000,0.54940000,0.60602901,1.52798686
23,0.79770000,0.66790000,0.59215349,1.00333170
24,0.80194000,0.66470000,0.58272100,1.04895119
25,0.80388000,0.71030000,0.57728223,0.90741297
26,0.80782000,0.61830000,0.56034668,1.34396978
27,0.81218000,0.70710000,0.55347926,0.90474485
28,0.81502000,0.65780000,0.54074361,1.05703657
29,0.81698000,0.68950000,0.53273354,0.94957491
30,0.82088000,0.68160000,0.52498718,0.96717934
31,0.82552000,0.72220000,0.50973818,0.87832653
32,0.82710000,0.70000000,0.50632909,0.94285673
33,0.83050000,0.72400000,0.49748243,0.86457430
34,0.83228000,0.70050000,0.49133147,0.91876474
35,0.83544000,0.70610000,0.47932779,0.90616676
36,0.83928000,0.68130000,0.47549146,0.99170101
37,0.84208000,0.64470000,0.46611463,1.23012420
38,0.84018000,0.71280000,0.46488623,0.90847795
39,0.84332000,0.71700000,0.46019993,0.89445058
40,0.84626000,0.71630000,0.45036583,0.89455959
41,0.84822000,0.70280000,0.44435711,0.93274630
42,0.85012000,0.72460000,0.43532747,0.92725290
43,0.85162000,0.70860000,0.43097397,0.95404452
44,0.85344000,0.72500000,0.43004390,0.87751559
45,0.85556000,0.72450000,0.42284485,0.91945291
46,0.85696000,0.72090000,0.41542380,0.89707520
47,0.85972000,0.69290000,0.41282847,1.00031898
48,0.86186000,0.70840000,0.40479883,0.99008320
49,0.86426000,0.68580000,0.39841084,1.12147260
50,0.86640000,0.70900000,0.39014145,0.97078712
51,0.86658000,0.71720000,0.38992696,0.92749970
52,0.86616000,0.73580000,0.38863604,0.84347392
53,0.86938000,0.73480000,0.38225940,0.84784235
54,0.86962000,0.73690000,0.37831561,0.85246324
55,0.87366000,0.72490000,0.36745817,0.94965815
56,0.87544000,0.70940000,0.36058958,0.95450418
57,0.87530000,0.74370000,0.36032584,0.83818872
58,0.87654000,0.74130000,0.35541712,0.88960683
59,0.87882000,0.74060000,0.35370209,0.86436156
60,0.87984000,0.72480000,0.34757070,0.89963700
61,0.88140000,0.71940000,0.34141885,0.90177608
62,0.88174000,0.73630000,0.34208159,0.91210282
63,0.88258000,0.74420000,0.34105386,0.85704890
64,0.88586000,0.71740000,0.33798411,1.01925366
65,0.88568000,0.71560000,0.33193751,0.93159344
66,0.88642000,0.73080000,0.33109438,0.92056140
67,0.88802000,0.72580000,0.32495318,0.93246306
68,0.89052000,0.73640000,0.31915655,0.86878590
69,0.88878000,0.70880000,0.31983393,0.97129190
70,0.88954000,0.73920000,0.31422194,0.89906673
