epoch,train_acc,test_acc,train_loss,test_loss
1,0.34332000,0.41550000,1.84634792,1.62057705
2,0.48592000,0.48170000,1.41513085,1.41507751
3,0.54692000,0.61050000,1.25987291,1.12759363
4,0.58612000,0.42880000,1.16410956,2.14658259
5,0.61222000,0.53800000,1.09364595,1.39562651
6,0.63144000,0.67080000,1.04380100,0.93702964
7,0.65056000,0.58890000,0.99336370,1.37473339
8,0.66676000,0.67540000,0.95218472,0.91993863
9,0.68172000,0.64740000,0.91126160,0.99457321
10,0.69248000,0.69410000,0.88620748,0.87257163
11,0.70252000,0.68350000,0.85493032,0.92076477
12,0.71294000,0.72050000,0.82962422,0.80452842
13,0.72232000,0.66860000,0.80929401,1.00925461
14,0.72854000,0.70190000,0.78527964,0.84130744
15,0.73622000,0.69050000,0.76327715,0.91528271
16,0.74274000,0.68230000,0.74618873,0.97496082
17,0.75120000,0.68100000,0.72776085,0.96072217
18,0.75784000,0.72360000,0.70847696,0.81689052
19,0.76416000,0.75260000,0.68613252,0.71662560
20,0.76818000,0.73000000,0.67554782,0.78812357
21,0.77620000,0.75320000,0.65680163,0.71585219
22,0.77844000,0.76260000,0.64729759,0.69323244
23,0.78594000,0.69300000,0.62841835,0.94932833
24,0.78984000,0.73840000,0.61509058,0.76609602
25,0.79144000,0.76460000,0.61221522,0.67696418
26,0.79880000,0.72080000,0.59278927,0.82319593
27,0.79994000,0.75590000,0.58809516,0.72469279
28,0.80176000,0.74570000,0.57919892,0.73043079
29,0.80782000,0.79030000,0.56539496,0.62831451
30,0.81158000,0.72770000,0.55889344,0.91243310
31,0.81286000,0.77470000,0.54918896,0.65900936
32,0.81586000,0.76660000,0.53831708,0.67915202
33,0.82162000,0.78640000,0.53003333,0.64152322
34,0.82292000,0.77430000,0.52213264,0.67324560
35,0.82476000,0.79150000,0.51362124,0.60270665
36,0.82444000,0.77190000,0.51534114,0.68538721
37,0.83076000,0.77190000,0.49668614,0.70408702
38,0.83054000,0.77530000,0.49737512,0.64178155
39,0.83420000,0.79030000,0.48859710,0.62338792
40,0.83642000,0.77780000,0.47911251,0.65684508
41,0.83684000,0.76770000,0.47812704,0.67091654
42,0.84058000,0.81000000,0.46017416,0.57435349
43,0.84082000,0.78700000,0.46985531,0.63017945
44,0.84504000,0.74920000,0.45676067,0.82289414
45,0.84802000,0.77820000,0.44634669,0.64421993
46,0.84780000,0.78430000,0.44121245,0.64051785
47,0.84828000,0.80750000,0.44337355,0.57605417
48,0.85166000,0.78890000,0.43523082,0.63121626
49,0.85456000,0.79590000,0.42490204,0.61016596
50,0.85300000,0.75980000,0.42620905,0.75732994
51,0.85754000,0.79540000,0.41640670,0.62087535
52,0.85674000,0.79050000,0.41563931,0.62965393
53,0.86012000,0.80630000,0.40817660,0.57121385
54,0.86062000,0.77560000,0.40700612,0.66335411
55,0.86522000,0.77750000,0.39825939,0.67299607
56,0.86656000,0.79470000,0.39089368,0.60716029
57,0.86668000,0.78430000,0.38455207,0.66586483
58,0.86800000,0.80090000,0.38311757,0.58724627
59,0.86918000,0.79830000,0.37936205,0.64563516
60,0.87140000,0.80250000,0.37518355,0.59373860
61,0.87068000,0.79850000,0.37861758,0.61499809
62,0.87596000,0.80120000,0.36187258,0.59926368
63,0.87632000,0.80640000,0.36157657,0.60383656
64,0.87900000,0.81460000,0.35718927,0.55536705
65,0.87692000,0.80180000,0.35673481,0.61018956
66,0.87834000,0.82050000,0.35409827,0.54846945
67,0.87946000,0.79900000,0.34747375,0.62151966
68,0.88038000,0.82210000,0.34784591,0.54811554
69,0.87862000,0.81910000,0.34545432,0.55601997
70,0.88314000,0.81650000,0.33765672,0.55859884
71,0.88510000,0.81840000,0.33728738,0.55601144
72,0.88376000,0.81690000,0.33404312,0.55834517
73,0.88438000,0.82310000,0.33461022,0.53863687
74,0.88488000,0.82660000,0.33077573,0.53838488
75,0.88848000,0.82080000,0.32483531,0.55378629
76,0.88732000,0.81990000,0.32491589,0.55089339
77,0.88756000,0.81970000,0.32353151,0.55659916
78,0.89068000,0.82090000,0.31932636,0.54714094
79,0.89284000,0.82850000,0.31631944,0.54207722
80,0.89110000,0.82940000,0.31188382,0.53481028
81,0.89050000,0.82140000,0.31728008,0.55515443
82,0.89260000,0.82170000,0.31106978,0.55358738
83,0.89196000,0.82420000,0.31268091,0.54711610
84,0.89414000,0.82750000,0.30705298,0.54073616
85,0.89378000,0.82300000,0.31057392,0.55626557
86,0.89488000,0.82650000,0.30574589,0.53742727
87,0.89654000,0.82330000,0.30449077,0.54219525
88,0.89428000,0.82390000,0.30851867,0.54620902
89,0.89402000,0.82490000,0.30310770,0.54281898
90,0.89498000,0.82360000,0.30310575,0.55256171
91,0.89554000,0.82640000,0.30684123,0.53997802
92,0.89788000,0.82080000,0.30093452,0.55374076
93,0.89494000,0.82500000,0.30374916,0.54441448
94,0.89598000,0.82560000,0.29824196,0.54039005
95,0.89636000,0.82630000,0.30130727,0.53692086
96,0.89660000,0.82480000,0.30055595,0.54966589
97,0.89770000,0.82420000,0.29743481,0.54122668
98,0.89834000,0.82480000,0.29922427,0.54321912
99,0.89630000,0.82470000,0.29831495,0.53971219
100,0.89534000,0.82420000,0.30047544,0.54353745
101,0.89736000,0.82560000,0.29647675,0.54626409
102,0.89434000,0.82370000,0.30428183,0.54317903
103,0.89782000,0.82550000,0.29768942,0.53783250
104,0.89826000,0.82530000,0.29653589,0.54257035
105,0.89414000,0.82420000,0.30240443,0.54918955
106,0.89680000,0.82460000,0.29666206,0.54371753
107,0.89810000,0.82380000,0.29396068,0.54787049
108,0.89694000,0.82430000,0.29575264,0.54808310
109,0.89920000,0.82650000,0.29495753,0.53978500
110,0.89694000,0.82390000,0.30037889,0.55602037
111,0.89780000,0.82180000,0.29804642,0.55467711
